0,0.00,0.00,29.87,45.93
5,0.00,0.00,29.97,45.56
10,0.00,0.00,30.03,45.38
15,0.00,0.00,30.05,45.25
20,0.00,0.00,30.08,45.11
25,0.00,0.00,30.10,45.01
30,0.00,0.00,30.11,44.94
35,0.00,0.00,30.13,44.87
40,0.00,0.00,30.15,44.80
45,0.00,0.00,30.15,44.74
50,0.00,0.00,30.18,44.67
55,0.00,0.00,30.18,44.64
60,0.00,0.00,30.19,44.59
65,0.00,0.00,30.18,44.56
70,0.00,0.00,30.19,44.52
75,0.00,0.00,30.20,44.49
80,0.00,0.00,30.18,44.45
85,0.00,0.00,30.18,44.40
90,0.00,0.00,30.18,44.42
95,0.00,0.00,30.18,44.38
100,0.00,0.00,30.18,44.38
105,0.00,0.00,30.17,44.37
110,0.00,0.00,30.17,44.33
115,0.00,0.00,30.17,44.33
120,0.00,0.00,30.17,44.30
125,0.00,0.00,30.16,44.30
130,0.00,0.00,30.15,44.30
135,0.00,0.00,30.15,44.26
140,0.00,0.00,30.15,44.26
145,0.00,0.00,30.15,44.23
150,0.00,0.00,30.15,44.23
155,0.00,0.00,30.13,44.23
